filename,title,description,keywords,category,releases_needed
concept_001_01.jpg,Modern Minimalist Home Office Workspace with Natural Light,"Bright and clean home office setup featuring a sleek wooden desk with a laptop, green indoor plants, a notebook, pen, coffee cup, and a glass bottle of water. Sunlight streams through large windows with sheer white curtains, highlighting the neutral tones and minimalist decor in a cozy, inviting workspace.","home office, workspace, minimalist, modern, wooden desk, laptop, blank screen, indoor plants, green plants, natural light, sunlight, window, sheer curtains, notebook, pen, coffee cup, water bottle, neutral tones, minimal decor, clean, bright, cozy, inviting, interior, office setup, desk setup, plant pot, home interior, daylight, sharp focus, soft shadows, wood floor, framed art, calm, organized, work from home, remote work",Interiors,[]
concept_001_02.jpg,Minimalist Home Office Workspace with Wooden Desk and Green Plants,"Bright and airy minimalist home office featuring a wooden desk with a blank laptop screen, potted green plants, a notebook with a pen, natural sunlight streaming through a window, and calm neutral tones. The workspace is clean and uncluttered, emphasizing a peaceful and productive environment.","minimalist, home office, workspace, wooden desk, laptop, blank screen, potted plants, green plants, natural sunlight, window, notebook, pen, neutral colors, calm, airy, clean, modern, interior, decor, plant pot, succulent, indoor plants, wood furniture, chair, shelf, books, soft light, natural light, productive, work environment, minimal decor, cozy, bright room, home workspace, desk setup, contemporary, relaxing, organized",Interiors,[]
concept_001_03.jpg,Minimalist Modern Home Office Workspace with Laptop and Plants,"A clean and modern minimalist home office setup featuring a wooden desk with a blank laptop screen, two green potted plants, a closed notebook, pens in a white mug, and soft natural sunlight coming through a window. The workspace has a neutral color palette and simple decor, creating a calm and organized environment ideal for productivity.","minimalist, home office, workspace, modern, wooden desk, laptop, blank screen, potted plants, green plants, succulent, notebook, pen, mug, natural light, sunlight, window, neutral colors, clean, organized, interior, desk setup, work from home, productivity, calm, minimal decor, contemporary, office space, technology, plant decor, daylight, simple design, wood texture, cozy, bright, indoor plants, stationery, workspace design, minimalism",Interiors,[]
concept_001_04.jpg,Modern Minimalist Home Office Workspace with Natural Light,"A sleek and modern minimalist home office workspace featuring a wooden desk with a blank laptop screen, a notebook with a pen, and green indoor plants. Sunlight pours through a large window, illuminating the clean, neutral-toned room. The workspace is bright, airy, and uncluttered, emphasizing calm and natural elements for a productive environment.","modern, minimalist, home office, workspace, wooden desk, laptop, blank screen, notebook, pen, indoor plants, green plants, natural light, sunlight, window, bright, airy, neutral tones, clean, uncluttered, calm, productive, interior, office setup, desk setup, plant decor, vertical format, mobile background, social media, contemporary, elegant, relaxing, workspace design, home workspace, daylight, wood furniture, cozy, organized, minimal decor",Interiors,[]
concept_002_01.jpg,Zero-Waste Kitchen Essentials on Rustic Wooden Countertop,"A cozy rustic kitchen setup featuring zero-waste essentials including reusable glass jars filled with grains and pasta, bamboo kitchen utensils in a ceramic holder, beeswax wraps covering bowls and bread, cloth produce bags filled with fresh vegetables, and natural fiber towels. Warm natural lighting highlights the textures of eco-friendly materials against a stone wall and wooden shelves backdrop.","zero waste, eco friendly, sustainable kitchen, rustic kitchen, wooden countertop, reusable jars, glass storage, bamboo utensils, beeswax wraps, cloth produce bags, fresh vegetables, natural fiber towels, organic food, kitchen organization, environmentally friendly, plastic free, grain storage, pasta storage, lentils, nuts, healthy lifestyle, green living, eco conscious, kitchen decor, natural light, cozy kitchen, sustainable living, food storage, zero waste lifestyle, reusable kitchenware, natural materials, cutting boards, ceramic holder, rustic decor, vegetables, bread, organic ingredients, kitchen essentials","Home, Garden & Tools",[]
concept_002_02.jpg,Zero-Waste Kitchen Essentials on Rustic Wooden Countertop,"A collection of zero-waste kitchen essentials arranged on a rustic wooden countertop by a window. The scene includes glass jars with various dry foods, bamboo cutlery tied with twine, beeswax wraps, a cloth produce bag filled with fresh vegetables such as carrots, kale, radishes, and an onion. Natural fiber towels and a small brush are also present, all illuminated by warm natural light creating a cozy and eco-friendly kitchen atmosphere.","zero waste, kitchen essentials, eco friendly, sustainable living, glass jars, dry food storage, bamboo cutlery, beeswax wraps, cloth produce bags, fresh vegetables, carrots, kale, radishes, onion, natural fiber towels, wooden countertop, rustic kitchen, warm natural light, eco kitchen, plastic free, environmentally friendly, organic food, food storage, kitchen organization, healthy lifestyle, green living, zero waste lifestyle, sustainable kitchen, natural materials, eco utensils, reusable bags, clean eating, minimal waste, eco conscious, home cooking, plant based, kitchen decor",Lifestyle,[]
concept_004_01.jpg,Serene Indoor Meditation Corner with Natural Elements and Soft Lighting,"A calm and peaceful indoor meditation space featuring a rolled yoga mat, a round meditation cushion, folded blanket, lit candles, and an incense holder with gentle smoke. Surrounded by green leafy potted plants, warm natural daylight filters through sheer curtains onto a wooden floor and neutral-toned walls, creating a balanced and inviting wellness environment.","meditation, mindfulness, wellness, yoga mat, meditation cushion, candles, incense, smoke, indoor plants, greenery, natural light, soft lighting, neutral colors, calm, peaceful, relaxation, serene, wellbeing, home spa, cozy corner, wooden floor, blanket, potted plants, interior design, natural decor, quiet space, zen, spiritual, tranquil, comfort, minimalist, healthy lifestyle, holistic, self care, meditative space, calming atmosphere, soft textures, balanced composition",Lifestyle,False
concept_004_02.jpg,"Calm Indoor Meditation Space with Yoga Mat, Cushions, and Candles","A peaceful and inviting indoor meditation corner featuring a rolled yoga mat, stacked cushions, lit candles, and incense smoke rising. The space is adorned with indoor green plants and soft warm daylight filtering through a window, creating a serene atmosphere with neutral tones and natural textures.","meditation, mindfulness, calm, peaceful, yoga mat, cushions, candles, incense, incense smoke, indoor plants, green plants, natural light, warm daylight, neutral tones, relaxation, serene, wellness, zen, home interior, cozy corner, wooden floor, soft shadows, decor, boho decor, textured wall, curtains, stacked books, natural materials, calming space, yoga, meditation room, holistic, tranquil, quiet, spiritual space, mindful living, healthy lifestyle, self care, balance, harmony",Lifestyle,False
concept_004_03.jpg,Peaceful Meditation Corner with Cushions and Green Plants,"A calm and serene meditation space featuring a beige meditation cushion on a larger pillow, a rolled yoga mat, lit candles on a wooden tray, and an incense holder with visible smoke. The setting includes green leafy potted plants, warm soft daylight, neutral tones, and a minimalist decor with a woven wall hanging and a cozy throw blanket, creating a soothing wellness atmosphere.","meditation, mindfulness, calm, serene, wellness, yoga mat, cushions, incense, smoke, candles, green plants, houseplants, indoor plants, neutral colors, beige, natural light, soft daylight, relaxation, peaceful, minimalist, interior decor, cozy, floor cushions, wooden floor, woven wall hanging, blanket, home interior, zen, quiet space, meditation props, plant pots, natural materials, healthy lifestyle, calming atmosphere, spiritual space, home wellness, yoga practice, mindful living",Lifestyle,False
concept_004_04.jpg,Cozy Indoor Meditation Corner with Plants and Candles,"A vertical indoor meditation space featuring a wooden stool with lit candles and incense, surrounded by soft meditation cushions on a natural fiber rug. The corner is decorated with various green indoor plants in pots, warm natural daylight, neutral tones, and a tranquil, inviting atmosphere ideal for mindfulness and relaxation.","meditation, mindfulness, indoor plants, candles, incense, smoke, yoga cushions, meditation cushions, cozy corner, natural light, warm daylight, neutral tones, relaxation, wellness, calm space, tranquil, inviting, wooden stool, home decor, greenery, potted plants, interior design, natural materials, floor cushions, woven basket, peaceful, serene, zen, vertical composition, soft lighting, plant leaves, wooden floor, minimalist, natural fibers, indoor garden, eco friendly, mindful living, healthy lifestyle",Lifestyle,[]
